,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind Speed
0,New Norfolk,40,AU,2018-12-24,67,-42.78,147.06,60.8,11.41
1,Rikitea,0,PF,2018-12-24,99,-23.12,-134.97,78.78,15.23
2,Sohag,0,EG,2018-12-24,58,26.55,31.7,57.2,8.05
3,Ribeira Grande,20,PT,2018-12-24,66,38.52,-28.7,51.8,3.36
4,Yellowknife,75,CA,2018-12-24,75,62.45,-114.38,-14.81,4.7
5,Qaanaaq,0,GL,2018-12-24,89,77.48,-69.36,-20.9,10.76
6,Gberia Fotombu,0,SL,2018-12-24,50,9.88,-11.17,66.41,5.61
7,Mataura,0,NZ,2018-12-24,85,-46.19,168.86,62.76,4.61
8,Saint-Philippe,90,CA,2018-12-24,78,45.36,-73.48,21.56,8.05
9,Khatanga,88,RU,2018-12-24,75,71.98,102.47,0.21,23.29
10,Sarai Mir,0,IN,2018-12-24,83,26.02,82.92,48.5,4.5
11,Atuona,20,PF,2018-12-24,100,-9.8,-139.03,81.03,18.7
12,Lagos de Moreno,40,MX,2018-12-24,16,21.36,-101.93,68.0,6.93
13,Ikovka,20,RU,2018-12-24,64,55.61,64.94,-21.53,8.19
14,Yerbogachen,0,RU,2018-12-24,0,61.28,108.01,-44.97,3.15
15,Aklavik,75,CA,2018-12-24,74,68.22,-135.01,-22.01,9.17
16,Karratha,0,AU,2018-12-24,43,-20.74,116.85,81.26,8.63
17,Isangel,80,VU,2018-12-24,100,-19.55,169.27,79.86,15.79
18,Chuy,0,UY,2018-12-24,77,-33.69,-53.46,72.98,12.88
19,Jennings,1,US,2018-12-24,55,30.22,-92.66,66.02,3.36
20,Hervey Bay,48,AU,2018-12-24,72,-25.3,152.85,66.2,9.17
21,Norman Wells,90,CA,2018-12-24,77,65.28,-126.83,-2.21,3.6
22,East London,80,ZA,2018-12-24,100,-33.02,27.91,71.4,8.86
23,Broken Hill,0,AU,2018-12-24,23,-31.97,141.45,73.4,6.93
